EX1G,EX2G,A1G,A2G,C1G,C2G,ES1G,ES2G,O1G,O2G,EX1,EX2,A1,A2,C1,C2,ES1,ES2,O1,O2,H/D
4,4,4,4,4,5,4,4,4,4,2.69,7.94,5.81,2.80,5.16,0.26,5.81,4.72,4.02,3.97,H
4,2,2,4,4,5,3,4,4,4,1.79,0.66,0.93,1.87,3.44,0.26,0.67,3.15,2.68,2.65,H
4,2,2,4,4,4,3,4,4,4,2.09,0.66,0.93,2.18,4.01,2.73,0.67,3.67,3.13,3.09,H
4,2,2,4,2,4,5,5,4,2,1.20,1.33,1.85,1.24,2.24,1.56,1.79,2.34,1.79,2.58,H
3,2,3,4,5,5,4,4,5,5,1.58,0.33,0.97,0.93,3.10,1.03,1.94,1.57,2.69,2.97,H
2,1,3,4,2,5,2,3,3,4,3.07,0.85,1.46,0.62,1.68,0.26,1.46,1.55,1.96,0.88,H
4,3,3,4,4,5,4,4,3,4,1.79,1.86,1.46,1.87,3.44,0.26,3.87,3.15,1.96,2.65,H
3,2,3,3,3,5,3,3,3,4,5.52,0.33,3.41,4.71,4.71,0.26,4.71,3.63,4.58,0.44,H
5,2,4,4,5,5,3,3,5,5,3.14,0.33,1.29,0.62,3.88,1.29,1.34,1.04,3.36,3.71,H
2,1,2,2,2,4,2,2,3,4,6.13,0.85,2.78,4.39,3.35,0.78,2.92,3.77,0.65,0.88,H
2,2,2,2,4,5,2,2,5,5,6.13,1.99,2.78,4.39,0.57,0.77,2.92,3.77,2.02,2.23,H
5,2,2,5,2,5,1,1,2,4,1.89,1.33,1.85,3.20,2.24,0.77,1.93,2.04,3.01,0.44,H
4,2,2,2,4,5,2,2,4,5,0.90,1.66,2.32,3.66,1.72,0.52,2.44,3.14,1.34,1.48,H
3,1,4,2,5,5,2,4,3,2,1.58,0.85,1.29,2.19,1.55,0.52,1.46,1.05,1.31,1.94,H
5,5,2,3,5,5,1,2,4,2,2.51,6.58,1.39,0.67,3.10,1.03,0.96,1.89,0.45,1.94,H
4,3,3,3,3,4,3,3,2,4,0.90,3.72,2.92,4.03,4.03,1.17,4.03,3.11,0.75,1.32,H
5,4,4,4,4,4,2,2,3,3,0.63,4.41,3.23,1.55,2.87,1.95,0.97,1.26,1.31,1.71,H
4,3,2,4,4,4,3,3,2,1,1.20,1.86,0.93,1.24,2.29,1.56,2.02,1.55,1.51,1.04,H
5,1,3,5,4,5,5,5,4,5,3.77,0.85,0.49,6.39,1.15,1.55,5.38,7.01,0.89,4.45,H
2,1,2,4,1,4,5,4,4,5,2.04,1.71,0.93,1.24,2.23,1.56,1.79,2.10,1.79,1.48,H
4,2,3,3,4,5,3,4,2,1,0.90,0.66,1.46,2.02,1.72,0.26,2.02,1.57,1.51,1.04,H
3,1,3,4,3,4,2,3,2,2,3.15,0.85,1.95,0.62,2.69,0.78,1.46,2.07,2.26,1.94,H
5,3,3,2,2,5,2,2,4,1,1.26,1.24,0.97,2.93,2.24,0.52,1.95,2.51,0.45,1.04,H
4,2,4,4,3,5,1,2,2,2,0.90,1.33,1.94,0.93,0.67,0.26,0.96,2.51,3.01,2.58,H
5,2,5,5,2,4,5,5,5,5,4.40,0.66,7.98,7.46,1.12,0.39,6.28,8.18,4.71,5.20,H
4,2,3,3,4,5,3,4,2,1,0.90,0.66,1.46,2.02,1.72,0.26,2.02,1.57,1.51,1.04,H
4,2,3,4,5,5,3,2,2,3,0.60,0.99,1.46,0.62,1.55,0.52,2.02,1.89,2.26,2.56,H
5,1,1,5,5,5,3,5,5,1,3.77,2.56,4.50,6.39,4.66,1.55,0.67,7.01,4.03,3.13,H
3,1,3,2,4,5,4,4,2,2,1.58,0.85,0.97,2.19,1.72,0.26,1.94,1.57,2.26,1.94,H
4,2,3,3,4,4,4,3,4,4,1.79,0.33,1.46,2.02,3.44,2.34,3.87,1.55,2.68,2.65,H
4,3,1,3,2,5,2,4,3,2,0.60,1.86,1.50,2.02,1.68,0.26,1.46,1.05,1.96,1.94,H
4,4,3,3,4,5,5,4,4,4,1.79,5.29,0.97,1.34,3.44,0.52,1.79,3.15,2.68,2.65,H
5,2,5,4,4,5,3,3,4,5,2.51,0.33,4.56,0.93,1.72,1.03,1.34,1.04,1.34,2.97,H
3,1,2,4,3,5,2,3,2,1,2.36,1.71,1.39,0.31,2.02,0.26,1.46,1.55,2.26,2.09,H
4,2,2,4,4,4,4,3,4,4,2.09,0.66,0.93,2.18,4.01,2.73,4.52,0.52,3.13,3.09,H
4,2,3,4,3,4,3,3,3,4,1.20,0.33,2.44,1.24,3.36,1.56,3.36,2.59,3.27,1.77,H
4,2,4,4,2,4,2,4,4,4,2.09,0.99,4.52,2.18,1.68,2.73,1.46,3.67,3.13,3.09,H
4,3,3,4,4,4,4,3,3,3,1.50,3.10,2.44,1.55,2.87,1.95,3.23,2.59,3.27,4.27,H
2,2,4,4,4,5,3,1,4,5,2.04,0.66,2.58,1.24,2.29,0.52,0.67,1.02,1.79,1.48,H
3,2,2,3,3,4,5,4,3,4,3.15,0.66,0.93,2.69,2.69,1.17,0.90,1.57,2.62,1.32,H
4,2,2,2,2,5,4,4,2,3,0.90,1.66,2.32,3.66,2.80,0.26,1.94,1.57,3.77,0.85,H
4,5,4,5,1,4,1,2,5,1,0.90,4.94,1.94,3.20,3.34,1.17,2.89,0.63,2.02,3.13,H
4,2,3,5,3,5,4,4,2,1,0.90,0.66,0.97,2.13,1.34,0.52,1.94,1.57,1.51,1.04,H
5,2,4,5,4,5,5,5,2,5,3.77,0.66,1.29,6.39,1.15,1.55,5.38,7.01,1.51,4.45,H
3,2,3,3,2,5,2,2,3,2,3.15,1.66,1.95,2.69,2.80,0.26,2.44,3.14,2.62,3.23,H
5,4,5,4,5,5,4,3,2,4,2.51,3.53,4.56,1.24,3.10,1.03,2.58,0.52,0.75,1.77,H
4,3,2,4,2,4,2,2,1,4,1.20,0.62,1.85,1.24,2.24,1.56,1.95,2.51,1.50,1.77,H
4,2,4,4,3,5,3,2,4,5,1.20,0.66,2.58,1.24,1.34,0.52,1.34,1.26,1.79,1.48,H
4,3,3,4,2,5,4,4,2,2,1.20,1.24,0.97,1.24,1.68,0.26,2.58,2.10,2.26,1.94,H
2,1,1,4,3,5,2,2,2,4,4.09,1.71,3.00,0.62,0.67,0.26,1.95,2.51,3.01,0.88,H
5,4,2,4,4,5,4,4,5,5,2.51,4.41,0.46,1.55,2.87,1.03,3.23,2.62,2.69,2.97,H
5,2,2,4,5,5,2,4,4,2,1.89,1.33,1.85,0.93,2.33,0.77,1.95,1.57,1.34,2.58,H
4,3,3,3,1,5,1,3,2,2,0.30,2.48,1.95,2.69,2.23,0.26,1.93,2.07,1.51,1.29,H
3,2,2,2,3,4,2,2,3,4,2.36,1.66,2.32,3.66,2.02,0.78,2.44,3.14,1.96,0.88,H
5,2,2,4,4,5,2,3,4,5,1.89,0.99,1.39,0.93,1.72,0.77,1.46,0.52,1.34,2.23,H
4,1,2,4,4,4,3,3,3,5,1.20,0.85,0.46,1.24,2.29,1.56,2.02,1.55,1.96,0.74,H
3,3,2,2,2,5,4,3,4,2,2.36,1.86,1.85,2.93,2.24,0.26,1.29,1.55,0.89,2.58,H
4,2,2,4,2,4,2,2,2,2,0.90,2.32,3.25,0.93,3.91,1.17,3.41,4.40,5.27,4.52,H
3,1,2,4,5,5,3,4,3,4,2.36,0.85,0.46,0.93,1.55,0.52,2.02,1.57,1.96,1.32,H
4,3,2,3,2,5,4,4,4,3,1.20,1.86,0.93,2.02,1.12,0.26,2.58,2.10,1.79,2.56,H
3,1,3,4,3,5,3,3,4,2,3.94,0.85,2.44,0.62,3.36,0.26,3.36,2.59,0.89,0.65,H
4,2,4,5,5,5,4,4,4,4,1.79,0.33,3.87,3.20,2.33,0.77,3.87,3.15,2.68,2.65,H
2,2,2,2,2,5,1,1,2,2,7.16,2.32,3.25,5.12,3.91,0.26,1.93,2.04,5.27,4.52,H
