EX1G,EX2G,A1G,A2G,C1G,C2G,ES1G,ES2G,O1G,O2G,EX1,EX2,A1,A2,C1,C2,ES1,ES2,O1,O2,H/D
3,2,3,3,4,4,2,3,3,3,4.25,0.66,3.37,3.92,1.07,0.82,0.97,3.98,3.73,4.69,H
4,4,4,4,5,5,4,4,4,4,2.63,7.19,4.97,2.38,1.50,0.49,4.73,4.29,3.46,4.34,H
4,2,2,4,4,5,3,4,4,4,1.97,0.66,0.98,1.78,3.21,0.24,0.66,3.21,2.59,3.25,H
4,3,2,4,4,4,3,4,4,4,2.30,1.44,0.49,2.08,3.75,2.89,1.33,3.75,3.03,3.80,H
5,3,3,1,5,5,3,1,3,3,1.99,3.59,2.81,3.03,2.25,0.73,3.31,2.00,3.11,3.91,H
3,3,3,4,5,5,4,3,5,5,2.83,2.87,2.25,0.59,3.00,0.98,1.18,2.65,2.72,2.42,H
3,2,3,3,3,5,3,3,3,4,4.96,0.33,3.94,4.58,5.32,0.24,4.64,4.64,4.35,0.54,H
4,3,4,3,4,4,2,4,5,5,1.64,1.44,3.11,1.31,2.68,2.06,0.49,2.68,1.36,1.21,H
5,2,5,4,5,5,3,3,5,5,3.98,0.33,5.89,0.30,4.49,1.47,1.33,1.33,4.08,3.64,H
4,2,3,3,3,5,2,2,4,3,0.66,1.00,2.25,2.62,3.04,0.24,1.46,1.61,0.86,3.13,H
4,5,3,3,4,5,3,4,3,4,1.31,2.81,2.25,2.62,2.14,0.49,2.65,2.14,2.49,2.17,H
2,1,2,2,2,4,2,2,3,4,5.89,0.75,2.95,5.40,3.37,0.82,2.92,3.21,0.62,1.08,H
1,2,1,2,4,5,2,2,4,5,3.77,1.33,2.43,3.60,1.07,0.49,1.95,2.14,0.86,1.21,H
5,2,2,4,2,5,1,1,2,3,1.33,1.33,1.97,0.30,2.25,0.49,1.77,2.00,3.48,0.78,H
4,4,3,4,3,4,4,2,3,5,1.64,4.50,1.69,1.49,2.28,2.06,2.95,0.54,1.86,0.61,H
2,4,3,4,3,5,4,2,3,3,1.96,2.70,2.25,0.89,3.04,0.24,1.77,1.07,2.49,3.13,H
4,2,2,2,4,5,2,5,4,5,0.98,1.33,1.97,3.60,1.61,0.73,1.95,3.00,1.30,1.82,H
4,4,5,4,2,4,1,3,2,2,1.31,3.60,0.98,1.19,1.69,1.65,0.88,0.66,2.61,1.86,H
4,1,3,2,3,4,4,2,3,2,0.98,0.75,1.69,2.70,2.28,1.24,1.77,1.61,1.86,1.86,H
4,2,2,2,2,4,4,4,5,4,1.64,1.33,1.97,3.60,2.25,2.06,2.95,2.68,0.68,2.71,H
4,2,3,4,3,4,3,3,3,3,0.98,0.33,3.37,0.89,4.56,1.24,3.98,3.98,3.73,4.69,H
4,2,2,4,4,5,2,3,3,4,1.31,1.00,1.48,1.19,2.14,0.24,1.46,1.33,1.24,2.17,H
5,4,2,3,1,5,4,4,5,2,1.99,2.70,0.98,0.65,1.08,0.73,1.77,1.61,2.04,1.24,H
5,2,2,4,2,5,4,4,5,5,2.65,1.00,1.48,0.89,1.69,0.98,1.77,1.61,2.72,2.42,H
4,2,2,4,2,5,5,5,4,2,0.98,1.33,1.97,0.89,2.25,0.73,3.47,3.00,1.30,2.49,H
3,2,3,3,4,4,4,4,4,4,2.13,0.33,1.69,1.96,3.21,2.47,3.55,3.21,2.59,3.25,H
5,5,3,3,4,5,1,1,2,1,1.99,4.22,1.12,1.31,0.54,0.73,2.65,3.00,0.87,3.65,H
5,5,3,3,4,5,1,1,2,1,1.99,4.22,1.12,1.31,0.54,0.73,2.65,3.00,0.87,3.65,H
4,3,3,3,3,4,3,4,3,4,1.31,4.31,3.37,3.92,4.56,1.65,3.98,2.14,3.73,2.17,H
4,3,1,4,2,4,4,5,1,2,1.31,0.72,2.43,1.19,1.12,1.65,2.36,1.00,2.64,1.24,H
4,4,2,4,1,5,2,2,4,2,1.31,3.60,1.97,1.19,1.08,0.24,1.95,2.14,1.73,2.49,H
5,4,4,4,4,4,2,2,3,3,0.66,4.50,3.11,1.49,2.68,2.06,0.97,1.07,1.24,1.56,H
4,4,2,4,1,5,2,2,4,2,1.31,3.60,1.97,1.19,1.08,0.24,1.95,2.14,1.73,2.49,H
2,1,2,4,1,4,5,4,4,5,1.96,1.50,0.98,1.19,2.17,1.65,2.32,2.14,1.73,1.21,H
4,1,5,5,2,3,2,4,3,4,0.98,0.75,1.96,1.86,1.12,3.77,0.97,1.61,1.24,1.63,H
5,2,2,3,4,5,3,3,3,2,1.33,1.00,1.48,2.62,0.54,0.49,2.65,2.65,2.49,1.86,H
4,1,4,2,4,5,2,5,4,3,1.31,0.75,2.49,1.80,2.14,0.49,0.97,2.00,1.73,0.78,H
4,1,4,3,2,5,2,2,3,5,0.66,0.75,1.24,1.31,1.69,0.49,1.46,1.61,1.24,1.21,H
2,2,2,4,2,4,5,4,2,5,4.91,1.66,2.46,0.89,2.81,1.24,2.32,1.61,4.35,1.21,H
4,1,4,2,4,5,2,5,4,3,1.31,0.75,2.49,1.80,2.14,0.49,0.97,2.00,1.73,0.78,H
5,2,4,4,4,2,4,4,4,4,0.66,0.66,4.35,2.08,3.75,3.33,4.14,3.75,3.03,3.80,H
3,1,3,2,4,5,4,4,2,2,1.42,0.75,1.12,2.70,1.61,0.24,1.77,1.61,2.61,1.86,H
4,2,3,4,3,5,3,3,4,3,0.98,0.33,2.81,0.89,3.80,0.24,3.31,3.31,1.30,3.91,H
4,2,4,4,2,4,2,3,4,4,1.97,1.00,3.73,1.78,1.69,2.47,1.46,0.66,2.59,3.25,H
3,1,4,4,4,5,2,2,5,4,0.71,0.75,2.49,1.19,2.14,0.49,0.97,1.07,1.36,2.17,H
2,1,5,3,2,5,4,4,4,2,2.94,0.75,1.96,0.65,1.69,0.49,1.77,1.61,1.30,1.86,H
4,3,3,5,2,5,2,1,2,2,0.33,1.44,1.12,1.86,2.25,0.49,1.95,1.00,3.48,2.49,H
4,4,2,4,2,4,2,1,4,4,1.97,5.40,1.48,1.78,1.69,2.47,1.46,1.00,2.59,3.25,H
3,2,4,4,3,4,2,2,5,5,1.42,1.00,1.86,0.89,1.52,1.24,1.46,1.61,1.36,1.21,H
4,2,4,2,2,4,4,2,2,4,1.64,1.66,3.11,4.50,2.81,2.06,2.95,2.68,4.35,2.71,H
5,2,2,5,1,4,3,3,2,2,1.33,1.33,1.97,1.86,1.08,0.41,1.33,1.33,3.48,2.49,H
