EX1G,EX2G,A1G,A2G,C1G,C2G,ES1G,ES2G,O1G,O2G,EX1,EX2,A1,A2,C1,C2,ES1,ES2,O1,O2,H/D
4,4,4,4,5,5,4,4,4,5,2.44,5.72,3.78,2.27,2.42,0.75,4.57,3.92,3.34,1.78,H
4,3,3,4,4,4,3,3,3,5,1.39,3.71,3.19,1.30,2.09,1.61,3.23,2.73,2.90,0.59,H
4,4,2,3,2,5,4,3,2,1,1.04,2.45,1.27,1.45,1.82,0.25,1.96,1.09,2.38,1.21,H
4,4,2,3,2,5,4,3,2,1,1.04,2.45,1.27,1.45,1.82,0.25,1.96,1.09,2.38,1.21,H
4,2,2,3,1,5,2,3,5,5,0.35,1.07,1.27,1.45,1.11,0.75,1.48,1.09,1.89,1.78,H
5,2,2,4,4,5,3,4,4,5,2.17,0.71,0.84,1.30,2.09,0.75,0.65,2.24,1.91,1.78,H
5,3,2,4,4,5,3,4,4,4,1.45,1.48,0.42,1.62,2.61,0.50,1.29,2.80,2.39,2.61,H
3,4,4,4,5,5,4,3,5,5,1.32,3.27,2.16,1.30,3.22,1.00,2.61,1.09,2.52,2.37,H
3,3,2,3,1,5,1,1,3,2,2.65,2.97,0.84,2.89,3.32,0.25,2.42,2.68,2.32,1.26,H
5,4,3,5,5,5,2,4,4,5,3.61,2.45,0.64,4.77,4.03,1.24,0.49,1.68,1.43,2.97,H
5,4,2,4,5,5,1,3,2,2,2.17,1.63,1.27,0.65,2.42,0.75,0.81,0.55,2.38,1.89,H
3,2,3,3,3,5,3,2,3,4,3.97,0.71,3.82,4.34,3.97,0.25,3.87,1.23,3.48,0.52,H
4,3,4,2,3,4,2,4,5,5,1.39,1.48,2.16,1.50,1.32,1.61,0.99,2.24,1.26,1.19,H
2,2,3,3,2,5,1,2,3,2,4.40,1.78,1.91,2.17,3.04,0.25,0.81,3.07,1.74,3.15,H
3,2,4,3,3,4,2,2,2,3,2.65,1.42,1.08,2.89,2.65,0.81,1.97,2.46,3.18,3.32,H
2,1,3,3,4,5,3,1,5,4,0.88,1.48,1.91,2.17,1.04,0.50,1.94,1.79,1.26,1.04,H
5,2,5,5,5,5,3,3,5,5,5.06,0.36,8.47,6.68,5.64,1.74,1.29,1.09,4.41,4.15,H
3,2,2,2,1,4,1,1,2,1,0.66,1.42,1.69,3.01,4.43,0.40,3.22,3.58,3.18,4.84,H
3,2,2,2,3,4,3,2,3,4,2.65,1.42,1.69,3.01,2.65,0.81,2.58,2.46,2.32,1.04,H
3,2,1,3,3,5,3,4,4,5,2.65,0.36,1.39,2.89,2.65,0.50,2.58,1.12,0.95,1.19,H
4,4,2,4,3,4,5,4,2,3,1.74,4.09,0.84,1.62,1.32,2.02,1.13,2.80,1.59,1.66,H
4,5,1,2,4,4,3,3,5,4,1.39,2.69,1.39,0.75,2.09,1.61,1.29,1.09,1.26,2.09,H
4,1,3,4,3,5,4,4,5,4,1.74,0.74,1.27,1.62,1.32,0.50,3.27,2.80,1.26,2.61,H
